Entry	EC number	Protein families	Enzyme class
Q9BZ11	3.4.24.-		Hydrolases
Q9BZG2	3.1.3.2	Histidine acid phosphatase family	Hydrolases
Q9BZJ3	3.4.21.59	Peptidase S1 family, Tryptase subfamily	Hydrolases
Q9BZM1	3.1.1.4	Phospholipase A2 family	Hydrolases
Q9BZM2	3.1.1.4	Phospholipase A2 family	Hydrolases
Q9BZP6	3.2.1.14	Glycosyl hydrolase 18 family, Chitinase class II subfamily	Hydrolases
Q9BZQ6	3.2.1.113	Glycosyl hydrolase 47 family	Hydrolases
Q9C000	3.4.-.-; 3.6.4.-	NLRP family	Hydrolases
Q9GZN4	3.4.21.-	Peptidase S1 family	Hydrolases
Q9GZR1	3.4.22.-	Peptidase C48 family	Hydrolases
Q9GZR2	3.1.-.-	REXO4 family	Hydrolases
Q9GZR7	3.6.4.13	DEAD box helicase family, DDX24/MAK5 subfamily	Hydrolases
Q9GZU7	3.1.3.16		Hydrolases
Q9GZX7	3.5.4.38	Cytidine and deoxycytidylate deaminase family	Hydrolases
Q9H008	3.1.3.-; 3.6.1.1	HAD-like hydrolase superfamily	Hydrolases
Q9H013	3.4.24.-		Hydrolases
Q9H040	3.4.24.-	Spartan family	Hydrolases
Q9H078	3.6.1.-	ClpA/ClpB family	Hydrolases
Q9H089	3.6.1.-	TRAFAC class YlqF/YawG GTPase family, LSG1 subfamily	Hydrolases
Q9H0C8	3.1.3.16	PP2C family	Hydrolases
Q9H0D6	3.1.13.-	5'-3' exonuclease family, XRN2/RAT1 subfamily	Hydrolases
Q9H0E7	3.4.19.12	Peptidase C19 family, USP44 subfamily	Hydrolases
Q9H0P0	3.1.3.5; 3.1.3.91	Pyrimidine 5'-nucleotidase family	Hydrolases
Q9H0R5	3.6.5.-	TRAFAC class dynamin-like GTPase superfamily, GB1/RHD3 GTPase family, GB1 subfamily	Hydrolases
Q9H0S4	3.6.4.13	DEAD box helicase family, DDX47/RRP3 subfamily	Hydrolases
Q9H0U4	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
Q9H0W9	3.1.-.-		Hydrolases
Q9H1E1	3.1.27.-	Pancreatic ribonuclease family	Hydrolases
Q9H1R2	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q9H227	3.2.1.21; 3.2.1.45; 3.2.1.46	Glycosyl hydrolase 1 family, Klotho subfamily	Hydrolases
Q9H239	3.4.24.-	Peptidase M10A family	Hydrolases
Q9H2R5	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9H2U1	3.6.4.12; 3.6.4.13	DEAD box helicase family, DEAH subfamily	Hydrolases
Q9H2U2	3.6.1.1	PPase family	Hydrolases
Q9H300	3.4.21.105	Peptidase S54 family	Hydrolases
Q9H306	3.4.24.-	Peptidase M10A family	Hydrolases
Q9H324	3.4.24.-		Hydrolases
Q9H3M9	3.4.19.12		Hydrolases
Q9H3R1	2.8.2.-; 2.8.2.8; 3.-.-.-	Sulfotransferase 1 family, NDST subfamily	Hydrolases
Q9H3S3	3.4.21.-	Peptidase S1 family	Hydrolases
Q9H3S7	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class subfamily	Hydrolases
Q9H4A9	3.4.13.19	Metallo-dependent hydrolases superfamily, Peptidase M19 family	Hydrolases
Q9H4L4	3.4.22.-	Peptidase C48 family	Hydrolases
Q9H4L7	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
Q9H596	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q9H5Z1	3.6.4.13	DEAD box helicase family, DEAH subfamily	Hydrolases
Q9H611	3.6.4.12	Helicase family, PIF1 subfamily	Hydrolases
Q9H6B9	3.3.2.10	AB hydrolase superfamily, Epoxide hydrolase family	Hydrolases
Q9H6P5	3.4.25.-	Ntn-hydrolase family	Hydrolases
Q9H6R0	3.6.4.13	DEAD box helicase family, DEAH subfamily	Hydrolases
Q9H6S0	3.6.4.13	DEAD box helicase family, DEAH subfamily	Hydrolases
Q9H6V9	3.1.1.13	AB hydrolase superfamily, LDAH family	Hydrolases
Q9H773	3.6.1.12		Hydrolases
Q9H777	3.1.26.11	RNase Z family	Hydrolases
Q9H790	3.1.-.-	EXO5 family	Hydrolases
Q9H816	3.1.-.-; 3.5.2.6	DNA repair metallo-beta-lactamase (DRMBL) family	Hydrolases
Q9H8H2	3.6.4.13; 5.6.2.-	DEAD box helicase family, DDX31/DBP7 subfamily	Hydrolases
Q9H8K7	3.6.1.-		Hydrolases
Q9H8M7	3.4.19.12	MINDY deubiquitinase family, FAM188 subfamily	Hydrolases
Q9H8Y5	3.1.-.-	ANKZF1/VMS1 family	Hydrolases
Q9H903	1.5.1.15; 1.5.1.5; 3.5.4.9	Tetrahydrofolate dehydrogenase/cyclohydrolase family	Hydrolases
Q9H993	2.1.1.-; 3.1.3.-	Damage-control phosphatase family, Sugar phosphate phosphatase III subfamily	Hydrolases
Q9H9G7	3.1.26.n2	Argonaute family, Ago subfamily	Hydrolases
Q9H9J2	3.1.26.-	Ribonuclease III family, Mitochondrion-specific ribosomal protein mL44 subfamily	Hydrolases
Q9H9J4	3.4.19.12	Peptidase C19 family	Hydrolases
Q9HAT2	3.1.1.53		Hydrolases
Q9HAU8	3.4.11.-; 3.4.11.18	Peptidase M1 family	Hydrolases
Q9HB07	3.1.-.-	MYG1 family	Hydrolases
Q9HB29	3.2.2.6	Interleukin-1 receptor family	Hydrolases
Q9HB75	3.4.21.-		Hydrolases
Q9HB90	3.6.5.-	GTR/RAG GTP-binding protein family	Hydrolases
Q9HBH1	3.5.1.88	Polypeptide deformylase family	Hydrolases
Q9HBJ7	3.4.19.12	Peptidase C19 family	Hydrolases
Q9HBL0	3.1.3.-	PTEN phosphatase protein family	Hydrolases
Q9HC16	3.5.4.38	Cytidine and deoxycytidylate deaminase family	Hydrolases
Q9HC62	3.4.22.-	Peptidase C48 family	Hydrolases
Q9HC96	3.4.22.-	Peptidase C2 family	Hydrolases
Q9HCC8	3.1.4.43	Glycerophosphoryl diester phosphodiesterase family	Hydrolases
Q9HCE1	3.6.4.13	DNA2/NAM7 helicase family, SDE3 subfamily	Hydrolases
Q9HCG7	2.4.1.-; 3.2.1.-; 3.2.1.45; 3.2.1.46	Non-lysosomal glucosylceramidase family	Hydrolases
Q9HCK8	3.6.4.12	SNF2/RAD54 helicase family, CHD8 subfamily	Hydrolases
Q9HCN3	3.1.1.4	TMEM8 family	Hydrolases
Q9HCN4	3.6.5.-	GPN-loop GTPase family	Hydrolases
Q9HCR9	3.1.4.35; 3.1.4.53	Cyclic nucleotide phosphodiesterase family	Hydrolases
Q9HD43	3.1.3.48	Protein-tyrosine phosphatase family, Receptor class 3 subfamily	Hydrolases
Q9HDD0	2.3.1.-; 3.1.1.32; 3.1.1.4	H-rev107 family	Hydrolases
Q9NP56	3.1.4.53	Cyclic nucleotide phosphodiesterase family, PDE7 subfamily	Hydrolases
Q9NP60	3.2.2.6	Interleukin-1 receptor family	Hydrolases
Q9NP77	3.1.3.16	SSU72 phosphatase family	Hydrolases
Q9NP80	3.1.1.-; 3.1.1.5		Hydrolases
Q9NPA2	3.4.24.-	Peptidase M10A family	Hydrolases
Q9NPB1	3.1.3.-	5'(3')-deoxyribonucleotidase family	Hydrolases
Q9NPH0	3.1.3.2	Histidine acid phosphatase family	Hydrolases
Q9NPH3	3.2.2.6	Interleukin-1 receptor family	Hydrolases
Q9NPI6	3.6.1.62	DCP1 family	Hydrolases
Q9NPJ3	3.1.2.-; 3.1.2.2	Thioesterase PaaI family	Hydrolases
Q9NQ66	3.1.4.11		Hydrolases
Q9NQ88	3.1.3.46	Phosphoglycerate mutase family	Hydrolases
Q9NQC7	3.4.19.12	Peptidase C19 family	Hydrolases
Q9NQE9	3.9.1.-	HINT family	Hydrolases
Q9NQH7	3.4.11.9	Peptidase M24B family	Hydrolases
Q9NQI0	3.6.4.13	DEAD box helicase family, DDX4/VASA subfamily	Hydrolases
Q9NQL2	3.6.5.-	GTR/RAG GTP-binding protein family	Hydrolases
Q9NQR4	3.5.1.3	Carbon-nitrogen hydrolase superfamily, NIT1/NIT2 family	Hydrolases
Q9NQR9	3.1.3.9	Glucose-6-phosphatase family	Hydrolases
Q9NQW7	3.4.11.9	Peptidase M24B family	Hydrolases
Q9NQZ7	3.6.1.15	GDA1/CD39 NTPase family	Hydrolases
Q9NR30	3.6.4.13	DEAD box helicase family, DDX21/DDX50 subfamily	Hydrolases
Q9NR31	3.6.5.2	Small GTPase superfamily, SAR1 family	Hydrolases
Q9NR34	3.2.1.113	Glycosyl hydrolase 47 family	Hydrolases
Q9NR71	3.5.1.-; 3.5.1.23	Neutral ceramidase family	Hydrolases
Q9NRE1	3.4.24.-	Peptidase M10A family	Hydrolases
Q9NRR2	3.4.21.-	Peptidase S1 family, Tryptase subfamily	Hydrolases
Q9NRR4	3.1.26.3	Ribonuclease III family	Hydrolases
Q9NRR6	3.1.3.36; 3.1.3.86	Inositol 1,4,5-trisphosphate 5-phosphatase type IV family	Hydrolases
Q9NRS4	3.4.21.-	Peptidase S1 family	Hydrolases
Q9NRW1	3.6.5.2	Small GTPase superfamily, Rab family	Hydrolases
Q9NRW3	3.5.4.38	Cytidine and deoxycytidylate deaminase family	Hydrolases
Q9NRW4	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q9NRX4	3.9.1.3	Janus family	Hydrolases
Q9NRZ9	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
Q9NS39	3.5.-.-		Hydrolases
Q9NST1	2.3.1.51; 3.1.1.3; 3.1.1.4		Hydrolases
Q9NSU2	3.1.11.2	Exonuclease superfamily, TREX family	Hydrolases
Q9NTJ4	3.2.1.24	Glycosyl hydrolase 38 family	Hydrolases
Q9NTJ5	3.1.3.64		Hydrolases
Q9NUJ1	3.1.1.93; 3.1.2.22	AB hydrolase superfamily	Hydrolases
Q9NUL7	3.6.4.13	DEAD box helicase family	Hydrolases
Q9NUN7	3.5.1.-; 3.5.1.23	Alkaline ceramidase family	Hydrolases
Q9NUQ7	3.4.22.-	Peptidase C78 family	Hydrolases
Q9NUU7	3.6.4.13	DEAD box helicase family, DDX19/DBP5 subfamily	Hydrolases
Q9NUW8	3.1.4.-	Tyrosyl-DNA phosphodiesterase family	Hydrolases
Q9NV23	3.1.2.14	Thioesterase family	Hydrolases
Q9NV35	3.6.1.9	Nudix hydrolase family	Hydrolases
Q9NVE5	3.4.19.12	Peptidase C19 family	Hydrolases
Q9NVE7	3.1.3.-	Type II pantothenate kinase family; Damage-control phosphatase family, Phosphopantetheine phosphatase II subfamily	Hydrolases
Q9NVH0	3.1.11.1; 3.1.13.-	EXD2 family	Hydrolases
Q9NVI7	3.6.1.-	AAA ATPase family	Hydrolases
Q9NVJ2	3.6.5.2	Small GTPase superfamily, Arf family	Hydrolases
Q9NVP1	3.6.4.13	DEAD box helicase family, DDX18/HAS1 subfamily	Hydrolases
Q9NVV5	3.1.-.-	AIG1 family	Hydrolases
Q9NWW9	2.3.1.-; 3.1.1.32; 3.1.1.4	H-rev107 family	Hydrolases
Q9NX46	3.2.1.143; 3.2.2.-; 3.5.1.-	ADP-ribosylglycohydrolase family	Hydrolases
Q9NX52	3.4.21.105	Peptidase S54 family	Hydrolases
Q9NX62	3.1.3.7	Inositol monophosphatase superfamily	Hydrolases
Q9NXE4	3.1.4.12		Hydrolases
Q9NXJ5	3.4.19.3	Peptidase C15 family	Hydrolases
Q9NXL9	3.6.4.12	MCM family	Hydrolases
Q9NXZ2	3.6.4.13	DEAD box helicase family	Hydrolases
Q9NY33	3.4.14.4	Peptidase M49 family	Hydrolases
Q9NY59	3.1.4.12	Neutral sphingomyelinase family	Hydrolases
Q9NY65	3.6.5.-	Tubulin family	Hydrolases
Q9NY93	3.6.4.13	DEAD box helicase family, DDX56/DBP9 subfamily	Hydrolases
Q9NYA4	3.1.3.95	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q9NZ08	3.4.11.-	Peptidase M1 family	Hydrolases
Q9NZ20	3.1.1.4	Phospholipase A2 family	Hydrolases
Q9NZC3	3.1.4.-; 3.1.4.44	Glycerophosphoryl diester phosphodiesterase family	Hydrolases
Q9NZC9	3.6.4.-	SNF2/RAD54 helicase family, SMARCAL1 subfamily	Hydrolases
Q9NZJ9	3.6.1.52; 3.6.1.61	Nudix hydrolase family, DIPP subfamily	Hydrolases
Q9NZK5	3.5.4.4	Metallo-dependent hydrolases superfamily, Adenosine and AMP deaminases family, ADGF subfamily	Hydrolases
Q9NZK7	3.1.1.4	Phospholipase A2 family	Hydrolases
Q9NZN1	3.2.2.6	Interleukin-1 receptor family	Hydrolases
Q9NZP8	3.4.21.-	Peptidase S1 family	Hydrolases
Q9P0G3	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9P0J1	3.1.3.43	PP2C family	Hydrolases
Q9P0U3	3.4.22.-	Peptidase C48 family	Hydrolases
Q9P212	3.1.4.11		Hydrolases
Q9P275	2.3.2.-; 3.4.19.12	Peptidase C19 family	Hydrolases
Q9P2D1	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
Q9P2H5	3.4.19.12	Peptidase C19 family	Hydrolases
Q9P2N4	3.4.24.-		Hydrolases
Q9UBJ2	3.1.2.-; 7.6.2.-	ABC transporter superfamily, ABCD family, Peroxisomal fatty acyl CoA transporter (TC 3.A.1.203) subfamily	Hydrolases
Q9UBM7	1.3.1.21; 3.3.2.11	ERG4/ERG24 family	Hydrolases
Q9UBN7	3.5.1.-; 3.5.1.98	Histone deacetylase family, HD type 2 subfamily	Hydrolases
Q9UBR1	3.5.1.6	Carbon-nitrogen hydrolase superfamily, BUP family	Hydrolases
Q9UBR2	3.4.18.1	Peptidase C1 family	Hydrolases
Q9UBX1	3.4.22.41	Peptidase C1 family	Hydrolases
Q9UBX7	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9UBZ4	3.1.11.2	DNA repair enzymes AP/ExoA family	Hydrolases
Q9UDY8	3.4.22.-	Peptidase C14B family	Hydrolases
Q9UEF7	3.2.1.31	Glycosyl hydrolase 1 family, Klotho subfamily	Hydrolases
Q9UFF9	3.1.13.4	CAF1 family	Hydrolases
Q9UGI0	3.4.19.12	Peptidase C64 family	Hydrolases
Q9UH17	3.5.4.38	Cytidine and deoxycytidylate deaminase family	Hydrolases
Q9UHI6	3.6.1.15; 3.6.4.13	DEAD box helicase family, DDX20 subfamily	Hydrolases
Q9UHI8	3.4.24.-		Hydrolases
Q9UHL0	3.6.4.13	DEAD box helicase family	Hydrolases
Q9UHL4	3.4.14.2	Peptidase S28 family	Hydrolases
Q9UHN6	3.2.1.35	CEMIP family	Hydrolases
Q9UHP3	3.4.19.12	Peptidase C19 family	Hydrolases
Q9UHY7	3.1.3.77	HAD-like hydrolase superfamily, MasA/MtnC family	Hydrolases
Q9UI32	3.5.1.2	Glutaminase family	Hydrolases
Q9UI38	3.4.25.-	Peptidase S1 family	Hydrolases
Q9UI42	3.4.17.-	Peptidase M14 family	Hydrolases
Q9UIF7	3.2.2.31	Nth/MutY family	Hydrolases
Q9UII6	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q9UIQ6	3.4.11.3	Peptidase M1 family	Hydrolases
Q9UIV1	3.1.13.4	CAF1 family	Hydrolases
Q9UJ14	2.3.2.2; 3.4.19.13	Gamma-glutamyltransferase family	Hydrolases
Q9UJA3	3.6.4.12	MCM family	Hydrolases
Q9UJA9	3.1.-.-	Nucleotide pyrophosphatase/phosphodiesterase family	Hydrolases
Q9UJV9	3.6.4.13	DEAD box helicase family, DDX41 subfamily	Hydrolases
Q9UK23	3.1.4.45		Hydrolases
Q9UK39	3.1.3.108	CCR4/nocturin family	Hydrolases
Q9UK59	3.1.4.-	Lariat debranching enzyme family	Hydrolases
Q9UK80	3.4.19.12	Peptidase C19 family, USP21 subfamily	Hydrolases
Q9UKF2	3.4.24.-		Hydrolases
Q9UKF6	3.1.27.-	Metallo-beta-lactamase superfamily, RNA-metabolizing metallo-beta-lactamase-like family, CPSF3 subfamily	Hydrolases
Q9UKJ8	3.4.24.-		Hydrolases
Q9UKK9	2.7.7.96; 3.6.1.13; 3.6.1.58	Nudix hydrolase family	Hydrolases
Q9UKM7	3.2.1.113	Glycosyl hydrolase 47 family	Hydrolases
Q9UKP4	3.4.24.-		Hydrolases
Q9UKP5	3.4.24.-		Hydrolases
Q9UKQ2	3.4.24.-		Hydrolases
Q9UKR0	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9UKU6	3.4.19.6	Peptidase M1 family	Hydrolases
Q9UKV0	3.5.1.98	Histone deacetylase family, HD type 2 subfamily	Hydrolases
Q9UKV8	3.1.26.n2	Argonaute family, Ago subfamily	Hydrolases
Q9UL19	2.3.1.-; 3.1.1.32; 3.1.1.4	H-rev107 family	Hydrolases
Q9UL52	3.4.21.-	Peptidase S1 family	Hydrolases
Q9ULA0	3.4.11.21	Peptidase M18 family	Hydrolases
Q9ULC6	3.5.3.15	Protein arginine deiminase family	Hydrolases
Q9ULG1	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
Q9ULM6	3.1.13.4	CCR4/nocturin family	Hydrolases
Q9ULR3	3.1.3.16	PP2C family	Hydrolases
Q9ULW8	3.5.3.15	Protein arginine deiminase family	Hydrolases
Q9ULX3	3.1.-.-	NOB1 family	Hydrolases
Q9ULZ9	3.4.24.-	Peptidase M10A family	Hydrolases
Q9UM07	3.5.3.15	Protein arginine deiminase family	Hydrolases
Q9UMQ6	3.4.22.-	Peptidase C2 family	Hydrolases
Q9UMR2	3.6.4.13	DEAD box helicase family, DDX19/DBP5 subfamily	Hydrolases
Q9UMR5	3.1.2.-	Palmitoyl-protein thioesterase family	Hydrolases
Q9UMW8	3.4.19.12	Peptidase C19 family	Hydrolases
Q9UMZ3	3.1.3.67; 3.1.3.86; 3.1.3.95	Protein-tyrosine phosphatase family, Receptor class 2A subfamily	Hydrolases
Q9UN37	3.6.4.6	AAA ATPase family	Hydrolases
Q9UNA0	3.4.24.-		Hydrolases
Q9UNH5	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class CDC14 subfamily	Hydrolases
Q9UNI1	3.4.21.36	Peptidase S1 family, Elastase subfamily	Hydrolases
Q9UNI6	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q9UNK4	3.1.1.4	Phospholipase A2 family	Hydrolases
Q9UNW1	3.1.3.62; 3.1.3.80	Histidine acid phosphatase family, MINPP1 subfamily	Hydrolases
Q9UNY4	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
Q9UP65	2.3.1.-; 3.1.1.4; 3.1.1.5		Hydrolases
Q9UP79	3.4.24.-		Hydrolases
Q9UPT9	3.4.19.12	Peptidase C19 family, UBP8 subfamily	Hydrolases
Q9UPU5	3.4.19.12	Peptidase C19 family	Hydrolases
Q9UPW5	3.4.17.-; 3.4.17.24	Peptidase M14 family	Hydrolases
Q9UPY3	3.1.26.3	Helicase family, Dicer subfamily	Hydrolases
Q9UQ16	3.6.5.5	TRAFAC class dynamin-like GTPase superfamily, Dynamin/Fzo/YdjA family	Hydrolases
Q9UQ49	3.2.1.18	Glycosyl hydrolase 33 family	Hydrolases
Q9UQ84	3.1.-.-	XPG/RAD2 endonuclease family, EXO1 subfamily	Hydrolases
Q9UQ90	3.4.24.-; 3.6.-.-	AAA ATPase family; Peptidase M41 family	Hydrolases
Q9UQC9	3.4.-.-	CLCR family	Hydrolases
Q9UQL6	3.5.1.98	Histone deacetylase family, HD type 2 subfamily	Hydrolases
Q9UQQ1	3.4.11.-	Peptidase M28 family, M28B subfamily	Hydrolases
Q9WJR5	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
Q9Y216	3.1.3.64	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q9Y217	3.1.3.95	Protein-tyrosine phosphatase family, Non-receptor class myotubularin subfamily	Hydrolases
Q9Y223	2.7.1.60; 3.2.1.183	UDP-N-acetylglucosamine 2-epimerase family; ROK (NagC/XylR) family	Hydrolases
Q9Y227	3.6.1.15; 3.6.1.42; 3.6.1.6	GDA1/CD39 NTPase family	Hydrolases
Q9Y230	3.6.4.12	RuvB family	Hydrolases
Q9Y233	3.1.4.17	Cyclic nucleotide phosphodiesterase family	Hydrolases
Q9Y235	3.5.4.36	Cytidine and deoxycytidylate deaminase family	Hydrolases
Q9Y251	3.2.1.166	Glycosyl hydrolase 79 family	Hydrolases
Q9Y256	3.4.26.1	Peptidase U48 family	Hydrolases
Q9Y265	3.6.4.12	RuvB family	Hydrolases
Q9Y276	3.6.1.-	AAA ATPase family, BCS1 subfamily	Hydrolases
Q9Y295	3.6.5.-	TRAFAC class OBG-HflX-like GTPase superfamily, OBG GTPase family	Hydrolases
Q9Y2B2	3.5.1.89	PIGL family	Hydrolases
Q9Y2C4	3.1.30.-	DNA/RNA non-specific endonuclease family	Hydrolases
Q9Y2E5	3.2.1.24	Glycosyl hydrolase 38 family	Hydrolases
Q9Y2G1	3.4.-.-	MRF family	Hydrolases
Q9Y2G2	3.4.-.-		Hydrolases
Q9Y2H2	3.1.3.25		Hydrolases
Q9Y2J8	3.5.3.15	Protein arginine deiminase family	Hydrolases
Q9Y2K6	3.4.19.12	Peptidase C19 family, USP20/USP33 subfamily	Hydrolases
Q9Y2L1	3.1.13.-; 3.1.26.-	RNR ribonuclease family	Hydrolases
Q9Y2M0	3.1.21.-; 3.1.4.1	FAN1 family	Hydrolases
Q9Y2R2	3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class 4 subfamily	Hydrolases
Q9Y2R4	3.6.4.13	DEAD box helicase family, DDX52/ROK1 subfamily	Hydrolases
Q9Y2T3	3.5.4.3	Metallo-dependent hydrolases superfamily, ATZ/TRZ family	Hydrolases
Q9Y303	3.5.1.25	Metallo-dependent hydrolases superfamily, NagA family	Hydrolases
Q9Y337	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9Y3B8	3.1.15.-	Oligoribonuclease family	Hydrolases
Q9Y3E5	3.1.1.29	PTH2 family	Hydrolases
Q9Y3L5	3.6.5.2	Small GTPase superfamily, Ras family	Hydrolases
Q9Y3Q0	3.4.17.21	Peptidase M28 family, M28B subfamily	Hydrolases
Q9Y3R4	3.2.1.18	Glycosyl hydrolase 33 family	Hydrolases
Q9Y3Z3	3.1.5.-	SAMHD1 family	Hydrolases
Q9Y450	3.6.5.-	TRAFAC class translation factor GTPase superfamily, Classic translation factor GTPase family	Hydrolases
Q9Y4B4	3.6.4.12	SNF2/RAD54 helicase family	Hydrolases
Q9Y4D2	3.1.1.116	AB hydrolase superfamily, Lipase family	Hydrolases
Q9Y4E8	3.4.19.12	Peptidase C19 family	Hydrolases
Q9Y4P1	3.4.22.-	Peptidase C54 family	Hydrolases
Q9Y4W2	3.1.-.-	LAS1 family	Hydrolases
Q9Y4W6	3.4.24.-; 3.6.-.-	AAA ATPase family; Peptidase M41 family	Hydrolases
Q9Y530	3.2.2.-; 3.5.1.-		Hydrolases
Q9Y570	3.1.1.89	AB hydrolase superfamily	Hydrolases
Q9Y5B0	3.1.3.16		Hydrolases
Q9Y5B8	2.7.-.-; 3.1.-.-	NDK family	Hydrolases
Q9Y5K2	3.4.21.-	Peptidase S1 family, Kallikrein subfamily	Hydrolases
Q9Y5K5	3.4.19.12	Peptidase C12 family	Hydrolases
Q9Y5L3	3.6.1.-	GDA1/CD39 NTPase family	Hydrolases
Q9Y5Q5	3.4.21.-	Peptidase S1 family	Hydrolases
Q9Y5R2	3.4.24.-	Peptidase M10A family	Hydrolases
Q9Y5T5	3.4.19.12	Peptidase C19 family, USP16 subfamily	Hydrolases
Q9Y5X9	3.1.1.3; 3.1.1.32	AB hydrolase superfamily, Lipase family	Hydrolases
Q9Y5Y6	3.4.21.109	Peptidase S1 family	Hydrolases
Q9Y5Z0	3.4.23.45	Peptidase A1 family	Hydrolases
Q9Y620	3.6.4.-	SNF2/RAD54 helicase family	Hydrolases
Q9Y646	3.4.17.-	Peptidase M28 family	Hydrolases
Q9Y6B6	3.6.5.2	Small GTPase superfamily, SAR1 family	Hydrolases
Q9Y6H3	3.4.24.-	Peptidase M76 family	Hydrolases
Q9Y6I4	3.4.19.12	Peptidase C19 family, USP3 subfamily	Hydrolases
Q9Y6L7	3.4.24.-		Hydrolases
Q9Y6M0	3.4.21.-	Peptidase S1 family	Hydrolases
Q9Y6V7	3.6.4.13	DEAD box helicase family, DDX49/DBP8 subfamily	Hydrolases
Q9Y6W3	3.4.22.-	Peptidase C2 family	Hydrolases
Q9Y6W6	3.1.3.16; 3.1.3.48	Protein-tyrosine phosphatase family, Non-receptor class dual specificity subfamily	Hydrolases
Q9Y6X5	3.6.1.29	Nucleotide pyrophosphatase/phosphodiesterase family	Hydrolases
Q9Y6X9	3.6.1.-		Hydrolases
A0A024RBG1	3.6.1.52	Nudix hydrolase family, DIPP subfamily	Hydrolases
A2A3K4	3.1.3.-	Protein-tyrosine phosphatase family, Non-receptor class PTPDC1 subfamily	Hydrolases
A6NCW0	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
A6NHC0	3.4.22.53	Peptidase C2 family	Hydrolases
A6NMB9	3.6.4.-	AAA ATPase family	Hydrolases
A8K979	3.1.-.-	ERI2 family	Hydrolases
A8MUK1	3.4.19.12	Peptidase C19 family, USP17 subfamily	Hydrolases
O14841	3.5.2.9	Oxoprolinase family	Hydrolases
O43414	3.1.-.-		Hydrolases
O94919	3.1.30.-	DNA/RNA non-specific endonuclease family	Hydrolases
O95084	3.4.21.-	Peptidase S1 family	Hydrolases
O95336	3.1.1.31	Glucosamine/galactosamine-6-phosphate isomerase family, 6-phosphogluconolactonase subfamily	Hydrolases
P07311	3.6.1.7	Acylphosphatase family	Hydrolases
P09093	3.4.21.70	Peptidase S1 family, Elastase subfamily	Hydrolases
P10266	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
P14621	3.6.1.7	Acylphosphatase family	Hydrolases
P15088	3.4.17.1	Peptidase M14 family	Hydrolases
P17538	3.4.21.1	Peptidase S1 family	Hydrolases
P19961	3.2.1.1	Glycosyl hydrolase 13 family	Hydrolases
P40313	3.4.21.-	Peptidase S1 family	Hydrolases
P49441	3.1.3.57	Inositol monophosphatase superfamily	Hydrolases
P51689	3.1.6.-	Sulfatase family	Hydrolases
P54793	3.1.6.1	Sulfatase family	Hydrolases
P58557	3.1.-.-	Endoribonuclease YbeY family	Hydrolases
P58872	3.4.21.105	Peptidase S54 family	Hydrolases
P63122	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63123	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63129	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63131	3.4.23.50	Peptidase A2 family, HERV class-II K(HML-2) subfamily	Hydrolases
P63132	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
P63133	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
P63135	2.7.7.49; 3.1.26.4	Beta type-B retroviral polymerase family, HERV class-II K(HML-2) pol subfamily	Hydrolases
